campaign_id,environment,primitive,seed,train_steps,state,verdict,screen_decision,primary_metric,delta_primary_metric,baseline_primary_metric,candidate_primary_metric,action_following_enabled,action_following_pass,action_following_observed,latest_checkpoint_step,candidate_checkpoint_retained,candidate_checkpoint_sha256,official_visual_asset_count
acwm-autoloop-confirm-cloth_move-inv_dyn_reward_finetune-s2812-t1000-r1,cloth_move,inv_dyn_reward_finetune,2812,1000,ready,INCONCLUSIVE,confirmation_candidate,ladder_auc_psnr_envmax,25.762364306234986,675.7220985573352,701.4844628635702,True,True,1.0,,True,945efc3123a9aab743ac048465c17ba5c83237d9b07be3549b331cc1123244f4,0
acwm-autoloop-confirm-cloth_move-motion_region_reweight-s2814-t1000-r1,cloth_move,motion_region_reweight,2814,1000,ready,INCONCLUSIVE,confirmation_candidate,ladder_auc_psnr_envmax,23.28583427545857,675.7220985573352,699.0079328327938,True,True,1.0,,True,e4ef3705b0ba7dba9c2e6902ac475da7bbee1ffbbcd945e104220153354d516b,0
acwm-autoloop-confirm-cloth_move-next_forcing-s2802-t1000-r1,cloth_move,next_forcing,2802,1000,ready,INCONCLUSIVE,reject_or_revise,ladder_auc_psnr_envmax,-74.05774905188844,675.7220985573352,601.6643495054468,True,True,1.0,,True,34370fbd7931d95b23535d0754020c0f4237381680c865212d153acccb77aef8,0
acwm-autoloop-confirm-cloth_move-self_forcing_finetune-s2805-t1000-r1,cloth_move,self_forcing_finetune,2805,1000,ready,INCONCLUSIVE,confirmation_candidate,ladder_auc_psnr_envmax,22.059963112094465,675.7220985573352,697.7820616694297,True,True,1.0,,True,6d4690e880138e056759394db2bf8db47e28e338f9c99769a186fa0f89be2aa2,0
acwm-autoloop-confirm-pour_water-motion_region_reweight-s3060-t1000-r1,pour_water,motion_region_reweight,3060,1000,ready,INCONCLUSIVE,reject_or_revise,ladder_auc_psnr_envmax,-103.1573588237211,1408.4182495750538,1305.2608907513327,True,True,1.0,,True,fc9e5fd7cdd4a660af292e7e8bd7e988f823084ba58b5a05a731dc7bd25a3a5c,0
acwm-autoloop-confirm-robot_arm-next_forcing-s2826-t1000-r1,robot_arm,next_forcing,2826,1000,ready,INCONCLUSIVE,reject_or_revise,ladder_auc_psnr_envmax,-51.318482290270026,978.4474031784647,927.1289208881947,True,True,0.5531914893617021,,True,999add2e40d262c32370de063877e695f8901f53c43bc63e4414364f2f56970b,0
acwm-autoloop-confirm-robot_arm-self_forcing_finetune-s2830-t1000-r1,robot_arm,self_forcing_finetune,2830,1000,ready,INCONCLUSIVE,reject_or_revise,ladder_auc_psnr_envmax,-27.766662837367676,978.4474031784647,950.680740341097,True,True,0.5531914893617021,,True,b016d65558639d8eaebf20e1e66f853b6b0a1f18bcdaaff2472e8cfb84835579,0
acwm-autoloop-screen-cloth_move-action_contrastive_finetune-s2700-t512-r1,cloth_move,action_contrastive_finetune,2700,512,ready,INCONCLUSIVE,reject_or_revise,ladder_auc_psnr_envmax,-67.8908793117381,675.7220985573352,607.8312192455971,True,True,1.0,,True,b57786268e29c5bfd066cd3e75f6d9c9208634b2213b69b50b7497886e28c2ee,0
acwm-autoloop-screen-cloth_move-action_contrastive_finetune-s2806-t512-r1,cloth_move,action_contrastive_finetune,2806,512,ready,INCONCLUSIVE,reject_or_revise,ladder_auc_psnr_envmax,-21.8753891506758,675.7220985573352,653.8467094066594,True,True,1.0,,True,8c94de34bed431b8a5185f5d7f3bb6027d24872c7134a9f727209a044e0cf2b2,0
acwm-autoloop-screen-cloth_move-action_contrastive_finetune-s2807-t512-r1,cloth_move,action_contrastive_finetune,2807,512,ready,INCONCLUSIVE,reject_or_revise,ladder_auc_psnr_envmax,-52.109632970294,675.7220985573352,623.6124655870412,True,True,1.0,,True,e6b3153a5509ace13e1bb79a5d9d48217c0dd001a4ac72bc9f1c94de8b670dc1,0
