environment,primitive,verdict,stability,receipt_count,passing_receipt_count,distinct_seed_count,evaluated_steps,selected_checkpoint_step,selected_eval_seed,delta_psnr,delta_ssim,delta_mse,delta_masked_mse,candidate_checkpoint_sha256,evidence_ref
push_cube,inv_dyn_reward_finetune,fail,no_passing_checkpoint,1,0,1,512,512,980,-1.6499999999999986,-0.011600000000000055,0.0002639999999999999,0.0012529999999999998,8e2a669a04a25f81fe28d4fd93386cd1a6bfa68a47cd89d5d94f03661c8c2d25,results/reports/acwm-effect-label-gate-push_cube-inv_dyn_reward_finetune-s980-r1/manifest.json
push_cube,latent_motion_prior,excluded,excluded,1,0,0,512,512,994,-1.629999999999999,-0.009199999999999986,0.00035999999999999986,0.0009909999999999997,8d789cea9d11b9472ae87a04d8d81aa7ae3de5bfb6c46211acc73f99ae3b6ed3,results/reports/acwm-effect-label-gate-push_cube-latent_motion_prior-s994-r1/manifest.json
push_cube,self_forcing_finetune,fail,no_passing_checkpoint,1,0,1,512,512,2051,-1.2000000000000028,-0.007299999999999973,0.00010300000000000001,0.00032800000000000017,bd91c12ab5aad3b50794ec3b9c6aa7381d86c455b258f093d9ad9719de97535a,results/reports/acwm-effect-label-gate-push_cube-self_forcing_finetune-s2051-r1/manifest.json
stack_cube,latent_spatial_memory,excluded,excluded,1,0,0,512,512,871,-18.479999999999997,-0.8156,0.574305,0.397107,aa1158833609fb0351fa6a9a7afd90801cd73cc24cfa78a563b0b30f9c588cef,results/reports/acwm-effect-label-gate-stack_cube-latent_spatial_memory-s871-r1/manifest.json
stack_cube,motion_region_reweight,fail,no_passing_checkpoint,1,0,1,512,512,2082,-18.459999999999997,-0.8151,0.573981,0.396983,264a8a5b7f3e4ade5960b2e36014a63dc4fdb23f057354cc5b7a9a46004e6b5d,results/reports/acwm-effect-label-gate-stack_cube-motion_region_reweight-s2082-r1/manifest.json
stack_cube,self_forcing_finetune,fail,no_passing_checkpoint,1,0,1,512,512,1810,-18.5,-0.8131999999999999,0.574032,0.397198,1718c72a3ec4d1e04422e5aec57f99ebffa192066b4d14b8b4f4f4fbf6ff3d32,results/reports/acwm-effect-label-gate-stack_cube-self_forcing_finetune-s1810-r1/manifest.json
push_rope,action_dimension_balancing,fail,no_passing_checkpoint,1,0,1,512,512,2846,-4.730000000000004,-0.006200000000000094,0.000357,0.0050680000000000005,935ea59a65410c2c4953cd97e5dc709716d501b5b22dacd2adaa810248f24295,results/reports/acwm-effect-label-gate-push_rope-action_dimension_balancing-s2846-r1/manifest.json
push_rope,self_forcing_finetune,pass,single_checkpoint_pass,1,1,1,512,512,874,0.01999999999999602,0.0008000000000000229,-2.0000000000000215e-06,-0.0001510000000000001,6f95744f9857d5a45fea6a0001c6585994203ceae2210ad666dacfa580197d3e,results/reports/acwm-effect-label-gate-push_rope-self_forcing_finetune-s874-r1/manifest.json
cloth_move,inv_dyn_reward_finetune,fail,no_passing_checkpoint,2,0,1,800/1000,1000,2812,0.3000000000000007,0.006799999999999917,-0.0007130000000000001,0.0007719999999999949,fdff0551f498a740fcb057482612eef1991f4d50cb4f2a23ce4327b01c84f2f7,results/reports/acwm-autoloop-confirm-official-gate-cloth_move-inv_dyn_reward_finetune-s2812-step1000-r1/manifest.json
cloth_move,motion_region_reweight,pass,all_observed_checkpoints_pass,2,2,1,800/1000,1000,2814,0.4299999999999997,0.00029999999999996696,-0.0014190000000000001,-0.0003429999999999961,c953bf83c9265574a22ff19a740f36c601dabef6be7799b200b080a49fe45980,results/reports/acwm-autoloop-confirm-official-gate-cloth_move-motion_region_reweight-s2814-step1000-r1/manifest.json
