stage,probe_id,environment,measurement_scope,locality_residual,locality_pass,reference_probe,cosine_similarity,relative_l2,decision
2,self_rollout_horizon_recovery,push_cube,8_environment_pilot,0.0386563673,true,self_rollout_teacher_recovery,0.9999999886,0.0300724633,reject_as_redundant
2,self_rollout_horizon_recovery,robot_arm,8_environment_pilot,0.1507098895,true,self_rollout_teacher_recovery,0.9999999942,0.0273984450,reject_as_redundant
3,action_dimension_interaction,push_rope,2_environment_gate,2.1576217292,false,action_dimension_anisotropy,-0.9999997613,4.1083624524,reject_as_nonlocal
3,action_dimension_interaction,push_sand,2_environment_gate,6.7131661396,false,action_dimension_anisotropy,-0.9999947366,1.0833194297,reject_as_nonlocal
4,motion_region_event_phase_curvature,cloth_move,8_environment_pilot,1.1411119091,false,motion_region_event_phase_lag,-0.9999801385,2.0681161822,retain_counterexample
4,motion_region_event_phase_curvature,stack_cube,8_environment_pilot,0.0318260037,true,motion_region_event_phase_lag,-0.9927094582,6.4042681329,admit_local_path
5,self_rollout_horizon_recovery_curvature,reacher,2_environment_protocol_matched_pilot,4.6425900000,false,self_rollout_horizon_recovery,0.9974804710,0.3471700000,reject_as_nonlocal
5,self_rollout_horizon_recovery_curvature,push_cube,2_environment_protocol_matched_pilot,0.0357660000,true,self_rollout_horizon_recovery,0.9999999970,0.0220990000,reject_as_redundant
6,multi_chunk_exposure_stability,cloth_move,2_environment_protocol_matched_pilot,0.0744324381,true,self_rollout_latest_feedback,0.9995302806,0.1477837683,admit_local_path
6,multi_chunk_exposure_stability,reacher,2_environment_protocol_matched_pilot,0.7690942116,false,self_rollout_latest_feedback,0.9983831545,0.8414687320,reject_as_nonlocal
7,action_temporal_alignment_phase,push_sand,1_environment_protocol_mismatched_pilot,,,,,reject_protocol_mismatch_no_conclusion
8,action_temporal_alignment_phase,push_sand,1_environment_protocol_matched_pilot,0.3352343601,true,action_temporal_alignment,-0.9999999082,1.6160011530,admit_local_path
