abstention_reason,ambiguous_target_candidates,benefit_sign_accuracy,fold_id,gpu_hours,negative_selection,ranking_kendall_tau,seed,selected_primitive,selected_target_positive,selection_regret,selector,state,supported_candidate_count,target_environment,top1_positive_hit,trial_id,trials_to_first_positive,unsupported_target_candidates
,[],0.5,holdout_push_cube,0.0,1.0,1.0,101,self_forcing_finetune,False,0.0,environment_label,evaluated,2,push_cube,0.0,holdout_push_cube__environment_label__s101,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,202,self_forcing_finetune,False,0.0,environment_label,evaluated,2,push_cube,0.0,holdout_push_cube__environment_label__s202,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,303,self_forcing_finetune,False,0.0,environment_label,evaluated,2,push_cube,0.0,holdout_push_cube__environment_label__s303,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,101,self_forcing_finetune,False,0.0,static_probe,evaluated,2,push_cube,0.0,holdout_push_cube__static_probe__s101,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,202,self_forcing_finetune,False,0.0,static_probe,evaluated,2,push_cube,0.0,holdout_push_cube__static_probe__s202,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,303,self_forcing_finetune,False,0.0,static_probe,evaluated,2,push_cube,0.0,holdout_push_cube__static_probe__s303,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,101,self_forcing_finetune,False,0.0,raw_response,evaluated,2,push_cube,0.0,holdout_push_cube__raw_response__s101,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,202,self_forcing_finetune,False,0.0,raw_response,evaluated,2,push_cube,0.0,holdout_push_cube__raw_response__s202,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,303,self_forcing_finetune,False,0.0,raw_response,evaluated,2,push_cube,0.0,holdout_push_cube__raw_response__s303,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,101,self_forcing_finetune,False,0.0,irg,evaluated,2,push_cube,0.0,holdout_push_cube__irg__s101,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,202,self_forcing_finetune,False,0.0,irg,evaluated,2,push_cube,0.0,holdout_push_cube__irg__s202,,[]
,[],0.5,holdout_push_cube,0.0,1.0,1.0,303,self_forcing_finetune,False,0.0,irg,evaluated,2,push_cube,0.0,holdout_push_cube__irg__s303,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,101,self_forcing_finetune,False,0.0,environment_label,evaluated,2,stack_cube,0.0,holdout_stack_cube__environment_label__s101,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,202,self_forcing_finetune,False,0.0,environment_label,evaluated,2,stack_cube,0.0,holdout_stack_cube__environment_label__s202,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,303,self_forcing_finetune,False,0.0,environment_label,evaluated,2,stack_cube,0.0,holdout_stack_cube__environment_label__s303,,[]
