dose,sample_index,seed,gpu_uuid,final_frame_mae,delta_final_frame_mae,rollout_video_l1,delta_rollout_video_l1,rollout_video_psnr,delta_rollout_video_psnr,temporal_difference_mae,delta_temporal_difference_mae
-0.1,0,101,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.062482990907853024,0.004781759847246936,0.027233650991765102,0.00028119980828508404,22.872499018340775,-0.2304485528086424,0.01641515830408867,-0.00021013863938095997
-0.1,16,202,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.0562314861234898,0.0007376267268270828,0.041805044692869324,-0.001599693608109222,21.439110524321805,0.19178341478895433,0.02284218709382428,-0.0019549460211799596
-0.1,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07430286705907109,-0.0006765959224598744,0.059407823350694514,-0.0002763622070117641,19.532492294462912,0.05504949020769345,0.028138100376079982,0.00025882387756238565
-0.05,0,101,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.057283164054763344,-0.0004180670058427441,0.026758363496716536,-0.00019408768676348193,23.1484987785848,0.04555120743538055,0.016389615653316224,-0.00023568129015340625
-0.05,16,202,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.055976635998465044,0.00048277660180232745,0.04183958365247156,-0.0015651546485069834,21.40519456841882,0.15786745888597054,0.022729810600258065,-0.002067322514746176
-0.05,32,303,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.07437030383491781,-0.0006091591466131502,0.059461904440003606,-0.00022228111770267178,19.517184050702706,0.039741246447487555,0.027914701066269247,3.5424567751650426e-05
0.0,0,101,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.05770123106060609,0.0,0.026952451183480018,0.0,23.102947571149418,0.0,0.01662529694346963,0.0
0.0,16,202,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.055493859396662716,0.0,0.043404738300978546,0.0,21.24732710953285,0.0,0.02479713311500424,0.0
0.0,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07497946298153096,0.0,0.05968418555770628,0.0,19.47744280425522,0.0,0.027879276498517597,0.0
0.05,0,101,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.05793855373588825,0.00023732267528216167,0.026974025884225247,2.1574700745229103e-05,23.092390605179727,-0.010556965969691134,0.016724762851400024,9.946590793039403e-05
0.05,16,202,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.05559905891018022,0.00010519951351750656,0.04366530825062828,0.000260569949649736,21.188983478989552,-0.058343630543298275,0.025147398753930274,0.0003502656389260325
0.05,32,303,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.07518431867696572,0.00020485569543475524,0.059854224740124994,0.00017003918241871585,19.455882610316984,-0.021560193938235273,0.027879025539942943,-2.509585746539311e-07
0.1,0,101,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.058519562970390154,0.0008183319097840661,0.027162475706823105,0.00021002452334308724,23.035345780445976,-0.06760179070344208,0.01687459430781469,0.0002492973643450601
0.1,16,202,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.05620728578678945,0.0007134263901267326,0.04420803711517747,0.0008032988141989245,21.08107172484238,-0.1662553846904693,0.025638277594418418,0.000841144479414177
0.1,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07541123164859379,0.0004317686670628207,0.060013195875730424,0.0003290103180241463,19.429248081013906,-0.04819472324131269,0.027894170333853253,1.4893835335656747e-05
