rank,probe_id,origin,selected_for_canary,acquisition_score,utility_lcb,residual_alignment,p_local,p_nonredundant,p_collision_resolved,estimated_gpu_hours,blockers
1,fixture_retrieved_boundary_phase,retrieval,True,1.0679149943063924,0.14110293496824172,0.8500000000000001,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.45,
2,cpbe_residual_0f7e5f10f9,residual,True,0.47835181897059686,0.1835771233710209,0.5,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5,
3,cpbe_residual_1f625a8e46,residual,True,0.37934723180656627,0.13948441721558064,0.5,0.5,0.5,0.5,0.5,
4,fixture_llm_contact_curvature,llm,False,0.051228757031315686,-0.30901699437494745,1.0,0.5,0.5,0.5,0.8,
5,cpbe_mutation_55a9374159,mutation,False,-0.03527725648792829,0.0880882800462226,0.2,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
6,cpbe_mutation_560c989002,mutation,False,-0.03527725648792829,0.0880882800462226,0.2,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
7,cpbe_mutation_3dc17a33b5,mutation,False,-0.13527725648792827,0.0880882800462226,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
8,cpbe_mutation_4349589c64,mutation,False,-0.13527725648792827,0.0880882800462226,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
9,cpbe_mutation_6fe1969841,mutation,False,-0.13527725648792827,0.0880882800462226,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
10,cpbe_mutation_96184f599d,mutation,False,-0.13527725648792827,0.0880882800462226,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
11,cpbe_mutation_43c347c814,mutation,False,-0.1852772564879283,0.0880882800462226,0.05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,hook_unavailable:unsupported_hook
12,cpbe_mutation_87a71d6cfe,mutation,False,-0.1852772564879283,0.0880882800462226,0.05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
13,cpbe_mutation_b24e1a1bf4,mutation,False,-0.1852772564879283,0.0880882800462226,0.05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
14,cpbe_mutation_e5bf8744ba,mutation,False,-0.1852772564879283,0.0880882800462226,0.05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5,
